Vercel CLI 54.17.3 (Node.js 20.14.0)
Resolving deployment "card-trade-44ebx2jk3-studitory.vercel.app"
Fetching project "prj_1AJuXEiaxMpqlt0Z2HHSS8LgtFzB"
Fetching logs...
TIME         HOST                                       LEVEL                                                            STATUS  MESSAGE   
23:41:40.97  noditto.app                                info   λ GET /sign-in                                            200     (no messa…
23:41:39.88  noditto.app                                info     GET /listings/mine                                      307     (no messa…
23:17:40.14  card-trade-44ebx2jk3-studitory.vercel.app  info   λ GET /api/jobs/trade-inspections                         200     (no messa…
23:17:02.80  noditto.app                                info   λ GET /sign-in                                            200     (no messa…
23:17:02.61  noditto.app                                info     GET /sales/c3323280-80de-440f-94c1-a1ba3bddeed2         307     (no messa…
23:16:27.98  noditto.app                                info   λ GET /                                                   200     (no messa…
23:16:27.80  noditto.app                                info     GET /messages                                           200     (no messa…
23:16:27.60  noditto.app                                info   λ GET /profile                                            200     (no messa…
23:16:27.58  noditto.app                                info     GET /purchases                                          200     (no messa…
23:16:27.43  noditto.app                                info   λ GET /messages                                           200     (no messa…
23:16:27.43  noditto.app                                info     GET /sales/c3323280-80de-440f-94c1-a1ba3bddeed2         200     (no messa…
23:16:27.43  noditto.app                                info   λ GET /                                                   200     (no messa…
23:16:26.61  noditto.app                                info     GET /profile                                            200     (no messa…
23:16:26.57  noditto.app                                info   λ GET /purchases                                          200     (no messa…
23:16:26.20  noditto.app                                info   λ GET /profile                                            200     (no messa…
23:16:26.19  noditto.app                                info   λ GET /messages                                           200     (no messa…
23:16:26.19  noditto.app                                info     GET /                                                   200     (no messa…
23:16:26.19  noditto.app                                info   λ GET /purchases                                          200     (no messa…
23:16:25.88  noditto.app                                info     POST /sales/c3323280-80de-440f-94c1-a1ba3bddeed2        200     (no messa…
23:16:21.21  noditto.app                                info     POST /sales/c3323280-80de-440f-94c1-a1ba3bddeed2        200     (no messa…
23:16:08.70  noditto.app                                info   λ POST /sales/c3323280-80de-440f-94c1-a1ba3bddeed2        200     (no messa…
23:16:07.80  noditto.app                                info     POST /sales/c3323280-80de-440f-94c1-a1ba3bddeed2        200     (no messa…
23:16:06.15  noditto.app                                info   λ GET /terms                                              200     (no messa…
23:16:06.11  noditto.app                                info   λ GET /sales                                              200     (no messa…
23:16:05.85  noditto.app                                info   λ GET /privacy                                            200     (no messa…
23:16:05.85  noditto.app                                info   λ GET /trades                                             200     (no messa…
23:16:05.59  noditto.app                                info   λ GET /terms                                              200     (no messa…
23:16:05.51  noditto.app                                info   λ GET /privacy                                            200     (no messa…
